id,date,amount,category,description
1,2024-01-01,74.8,JEDZENIE,Żabka
2,2024-01-01,33.76,TRANSPORT,MPK bilet miesięczny
3,2024-01-02,60.81,JEDZENIE,Biedronka
4,2024-01-03,84.09,JEDZENIE,Burger King
5,2024-01-03,41.07,TRANSPORT,BP paliwo
6,2024-01-03,8.0,ROZRYWKA,Helios
7,2024-01-03,277.37,ZAKUPY,IKEA
8,2024-01-04,82.68,JEDZENIE,Biedronka
9,2024-01-05,159.15,ZAKUPY,Zara
10,2024-01-06,215.49,ZAKUPY,RTV Euro AGD
11,2024-01-07,48.75,JEDZENIE,Warzywnik
12,2024-01-07,73.54,TRANSPORT,Autopay autostrada
13,2024-01-07,63.02,ROZRYWKA,Pub Złoty Kielich
14,2024-01-08,40.19,JEDZENIE,Restauracja Stara Kamienica
15,2024-01-08,97.91,ZDROWIE,Dentysta
16,2024-01-09,73.09,JEDZENIE,Netto
17,2024-01-09,21.39,TRANSPORT,Autopay autostrada
18,2024-01-10,34.21,JEDZENIE,Piekarnia
19,2024-01-10,16.73,TRANSPORT,Bolt
20,2024-01-10,86.75,ZDROWIE,Apteka Dr. Max
21,2024-01-10,214.76,ZAKUPY,IKEA
22,2024-01-11,86.88,JEDZENIE,McDonald's
23,2024-01-12,94.08,JEDZENIE,Aldi
24,2024-01-12,56.17,TRANSPORT,Autopay autostrada
25,2024-01-12,127.74,ZAKUPY,Amazon
26,2024-01-13,3.33,ROZRYWKA,Teatr Miejski
27,2024-01-14,57.44,JEDZENIE,Aldi
28,2024-01-14,50.7,ZAKUPY,RTV Euro AGD
29,2024-01-16,45.57,JEDZENIE,Aldi
30,2024-01-16,67.48,ROZRYWKA,Teatr Miejski
31,2024-01-17,36.83,TRANSPORT,Uber
32,2024-01-18,114.52,ROZRYWKA,Spotify
33,2024-01-19,86.85,JEDZENIE,Żabka
34,2024-01-19,42.47,TRANSPORT,PKP Intercity
35,2024-01-20,94.45,JEDZENIE,Piekarnia
36,2024-01-20,135.34,ROZRYWKA,Bowling
37,2024-01-20,73.78,ZAKUPY,Allegro
38,2024-01-21,39.43,TRANSPORT,Autopay autostrada
39,2024-01-22,38.71,TRANSPORT,Shell paliwo
40,2024-01-22,106.75,ROZRYWKA,Bowling
41,2024-01-23,142.21,ROZRYWKA,Spotify
42,2024-01-23,149.31,ZAKUPY,Allegro
43,2024-01-24,90.58,JEDZENIE,Kaufland
44,2024-01-24,2.31,TRANSPORT,Shell paliwo
45,2024-01-24,75.51,ROZRYWKA,Pub Złoty Kielich
46,2024-01-25,28.08,JEDZENIE,KFC
47,2024-01-25,17.79,TRANSPORT,BlaBlacar
48,2024-01-25,351.58,ZAKUPY,Allegro
49,2024-01-26,63.8,JEDZENIE,Sushi Bar
50,2024-01-26,23.08,TRANSPORT,Bolt
51,2024-01-26,138.58,ROZRYWKA,Pub Złoty Kielich
52,2024-01-27,75.6,JEDZENIE,Piekarnia
53,2024-01-27,18.73,TRANSPORT,BP paliwo
54,2024-01-28,28.05,JEDZENIE,Warzywnik
55,2024-01-28,75.48,ZAKUPY,Zara
56,2024-01-29,32.81,JEDZENIE,Żabka
57,2024-01-29,57.34,ROZRYWKA,Helios
58,2024-01-30,62.67,JEDZENIE,Piekarnia
59,2024-01-31,41.67,TRANSPORT,MPK bilet miesięczny
60,2024-01-31,106.54,ZAKUPY,RTV Euro AGD
61,2024-02-01,41.99,JEDZENIE,KFC
62,2024-02-01,21.44,TRANSPORT,PKP Intercity
63,2024-02-01,43.45,ROZRYWKA,Netflix
64,2024-02-02,64.3,JEDZENIE,KFC
65,2024-02-02,475.55,RACHUNKI,Woda MPWiK
66,2024-02-03,78.59,JEDZENIE,Kaufland
67,2024-02-03,10.63,ROZRYWKA,Netflix
68,2024-02-04,98.7,JEDZENIE,Aldi
69,2024-02-05,78.43,JEDZENIE,Kaufland
70,2024-02-05,133.18,ROZRYWKA,HBO Max
71,2024-02-06,53.23,JEDZENIE,Kaufland
72,2024-02-06,41.92,ROZRYWKA,Netflix
73,2024-02-07,39.87,JEDZENIE,Żabka
74,2024-02-07,62.12,TRANSPORT,Autopay autostrada
75,2024-02-07,34.25,ROZRYWKA,Steam
76,2024-02-08,63.69,TRANSPORT,PKP Intercity
77,2024-02-08,96.66,ROZRYWKA,Steam
78,2024-02-09,140.72,ZAKUPY,H&M
79,2024-02-10,111.98,JEDZENIE,Sushi Bar
80,2024-02-12,55.61,JEDZENIE,Warzywnik
81,2024-02-12,19.64,TRANSPORT,Bolt
82,2024-02-12,91.27,ROZRYWKA,Teatr Miejski
83,2024-02-13,45.09,JEDZENIE,Biedronka
84,2024-02-13,53.5,TRANSPORT,Uber
85,2024-02-14,61.4,JEDZENIE,Aldi
642,2024-02-14,650.0,ROZRYWKA,Kolacja walentynkowa – restauracja premium
86,2024-02-15,82.57,JEDZENIE,Aldi
87,2024-02-15,19.88,TRANSPORT,Bolt
88,2024-02-15,139.34,ROZRYWKA,Helios
89,2024-02-16,79.71,JEDZENIE,Netto
90,2024-02-16,81.29,ZAKUPY,Zara
91,2024-02-17,41.23,TRANSPORT,Parking centrum
92,2024-02-17,13.81,ROZRYWKA,Helios
93,2024-02-17,53.96,ZAKUPY,Amazon
94,2024-02-18,61.78,JEDZENIE,Aldi
95,2024-02-19,87.94,JEDZENIE,KFC
96,2024-02-20,30.17,JEDZENIE,Żabka
97,2024-02-20,45.02,TRANSPORT,Orlen paliwo
98,2024-02-20,180.7,ZAKUPY,Empik
99,2024-02-21,52.54,JEDZENIE,McDonald's
100,2024-02-21,25.65,TRANSPORT,Parking centrum
101,2024-02-22,38.46,JEDZENIE,Aldi
102,2024-02-24,8.58,JEDZENIE,Carrefour
103,2024-02-24,40.93,ROZRYWKA,Pub Złoty Kielich
104,2024-02-25,253.39,ZAKUPY,Empik
105,2024-02-26,47.2,JEDZENIE,McDonald's
106,2024-02-26,33.35,TRANSPORT,Parking centrum
107,2024-02-27,35.07,TRANSPORT,Flixbus
108,2024-02-27,75.9,ROZRYWKA,PlayStation Store
109,2024-02-27,139.35,ZDROWIE,Apteka Dbam o Zdrowie
110,2024-02-28,53.1,JEDZENIE,Biedronka
111,2024-02-28,52.56,ROZRYWKA,Helios
112,2024-02-29,57.04,JEDZENIE,Netto
113,2024-03-01,23.8,ZAKUPY,CCC buty
114,2024-03-02,29.24,JEDZENIE,Aldi
115,2024-03-02,20.17,TRANSPORT,BlaBlacar
116,2024-03-03,13.56,JEDZENIE,Restauracja Stara Kamienica
117,2024-03-03,14.94,TRANSPORT,Shell paliwo
118,2024-03-04,68.97,JEDZENIE,Netto
